Experiment Name	Epoch	EpRet	TestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LogPi	LossPi	LossQ	std	Time
ant_mop_r0_a1_1	39	0.0	0.0	3048.5	5000.0	389999	1611.5416	1611.5422	-2.901775	-1615.4084	1254.0194	0.6826023	13007.389521837234
ant_mop_r0_a1_1	40	0.0	0.0	5000.0	5000.0	399999	1637.2338	1637.2344	-2.941843	-1641.0505	1247.6744	0.6840536	13331.496250391006
ant_mop_r0_a1_1	41	0.0	0.0	2545.3333	5000.0	409999	1663.1145	1663.1147	-2.9287982	-1666.9683	1245.4591	0.6842133	13658.609056711197
ant_mop_r0_a1_1	42	0.0	0.0	3211.0	5000.0	419999	1686.553	1686.5548	-2.9126477	-1690.371	1313.7078	0.68321633	13985.825064897537
ant_mop_r0_a1_1	43	0.0	0.0	2735.0	5000.0	429999	1711.2594	1711.2593	-2.936005	-1715.0984	1197.794	0.6873634	14312.92711019516
ant_mop_r0_a1_1	44	0.0	0.0	4651.5	5000.0	439999	1735.6459	1735.649	-3.0827856	-1739.4	1248.7198	0.6897528	14637.125421762466
ant_mop_r0_a1_1	45	0.0	0.0	2342.0	5000.0	449999	1759.124	1759.123	-3.0486445	-1762.842	1222.6229	0.68914324	14964.239691734314
ant_mop_r0_a1_1	46	0.0	0.0	2670.75	5000.0	459999	1779.7607	1779.7626	-3.05519	-1783.5156	1286.6578	0.68750215	15290.214212179184
ant_mop_r0_a1_1	47	0.0	0.0	2046.8	5000.0	469999	1797.8333	1797.8363	-3.030027	-1801.526	1291.0992	0.69081557	15619.415937185287
ant_mop_r0_a1_1	48	0.0	0.0	2205.6667	5000.0	479999	1815.5577	1815.5585	-2.948317	-1819.2496	1364.3948	0.68212014	15943.61830163002
ant_mop_r0_a1_1	49	0.0	0.0	2935.5	5000.0	489999	1832.738	1832.7397	-2.9278045	-1836.4073	1353.0436	0.6823989	16269.90727353096
ant_mop_r0_a1_1	50	0.0	0.0	5000.0	5000.0	499999	1851.372	1851.3748	-3.0134346	-1855.0342	1331.6974	0.6843001	16592.494297742844
ant_mop_r0_a1_1	51	0.0	0.0	5000.0	5000.0	509999	1867.4205	1867.4227	-2.9778645	-1870.9946	1306.7487	0.6837476	16916.321417331696
ant_mop_r0_a1_1	52	0.0	0.0	3122.0	5000.0	519999	1886.143	1886.145	-3.0294838	-1889.778	1314.0529	0.68710315	17242.521727323532
ant_mop_r0_a1_1	53	0.0	0.0	5000.0	5000.0	529999	1903.4971	1903.4963	-3.033288	-1907.1613	1318.1173	0.6867528	17569.599400997162
ant_mop_r0_a1_1	54	0.0	0.0	5000.0	5000.0	539999	1921.5619	1921.5629	-3.0711412	-1925.2792	1325.5717	0.68557763	17894.447818756104
ant_mop_r0_a1_1	55	0.0	0.0	3455.5	5000.0	549999	1939.9088	1939.9084	-3.0439808	-1943.5323	1294.2491	0.6858703	18223.274748325348
ant_mop_r0_a1_1	56	0.0	0.0	1492.7142	5000.0	559999	1955.5973	1955.5999	-3.0791872	-1959.1658	1373.3123	0.68703777	18548.840484380722
ant_mop_r0_a1_1	57	0.0	0.0	3921.3333	5000.0	569999	1968.7972	1968.7976	-3.0805907	-1972.3715	1407.8347	0.6829612	18878.882380962372
ant_mop_r0_a1_1	58	0.0	0.0	5000.0	5000.0	579999	1982.1139	1982.114	-3.068504	-1985.6788	1343.0868	0.6821459	19200.437915802002
ant_mop_r0_a1_1	59	0.0	0.0	5000.0	5000.0	589999	1999.4912	1999.493	-3.0462294	-2003.1932	1323.7329	0.6888293	19521.450001478195
ant_mop_r0_a1_1	60	0.0	0.0	3011.5	5000.0	599999	2015.7762	2015.776	-3.1289632	-2019.3458	1363.9823	0.69160414	19846.332396507263
ant_mop_r0_a1_1	61	0.0	0.0	3210.0	5000.0	609999	2031.0198	2031.02	-3.0234392	-2034.704	1353.5449	0.68786687	20173.518202781677
ant_mop_r0_a1_1	62	0.0	0.0	3587.6667	5000.0	619999	2046.1893	2046.1897	-3.1553135	-2049.705	1319.7952	0.69237447	20504.92617082596
ant_mop_r0_a1_1	63	0.0	0.0	2314.3333	5000.0	629999	2061.8337	2061.8347	-3.189541	-2065.4297	1354.0208	0.6934314	20828.825152873993
ant_mop_r0_a1_1	64	0.0	0.0	3459.5	5000.0	639999	2077.9502	2077.9504	-3.1835775	-2081.5295	1334.5536	0.691028	21148.780457019806
ant_mop_r0_a1_1	65	0.0	0.0	3497.5	5000.0	649999	2093.4146	2093.4133	-3.159859	-2096.9165	1371.2622	0.68778807	21474.35851073265
ant_mop_r0_a1_1	66	0.0	0.0	5000.0	5000.0	659999	2106.1355	2106.1362	-3.2156405	-2109.6746	1364.6323	0.69177526	21798.946719169617
ant_mop_r0_a1_1	67	0.0	0.0	3022.0	5000.0	669999	2120.0337	2120.034	-3.1508174	-2123.5535	1389.4602	0.6925377	22123.9599711895
ant_mop_r0_a1_1	68	0.0	0.0	4207.0	5000.0	679999	2133.8206	2133.8174	-3.1161704	-2137.36	1372.0525	0.690921	22447.629353523254
ant_mop_r0_a1_1	69	0.0	0.0	4299.3335	5000.0	689999	2146.649	2146.65	-3.2620425	-2150.184	1389.6874	0.6920713	22778.19368171692
ant_mop_r0_a1_1	70	0.0	0.0	4652.0	5000.0	699999	2160.3389	2160.3381	-3.2136457	-2163.8293	1346.3452	0.69208455	23103.008147001266
ant_mop_r0_a1_1	71	0.0	0.0	4285.5	5000.0	709999	2172.65	2172.6497	-3.151976	-2176.1885	1421.777	0.69005305	23425.152611494064
ant_mop_r0_a1_1	72	0.0	0.0	5000.0	5000.0	719999	2183.7283	2183.727	-3.204704	-2187.2004	1444.5608	0.693097	23746.176243066788
ant_mop_r0_a1_1	73	0.0	0.0	5000.0	5000.0	729999	2196.0269	2196.026	-3.2284982	-2199.5295	1345.4238	0.696821	24074.498594999313
ant_mop_r0_a1_1	74	0.0	0.0	3172.6667	5000.0	739999	2209.8042	2209.803	-3.2114987	-2213.2559	1342.3861	0.69492364	24395.85612845421
ant_mop_r0_a1_1	75	0.0	0.0	5000.0	5000.0	749999	2221.4146	2221.4163	-3.1580045	-2224.9182	1454.0267	0.69021326	24720.67452645302
ant_mop_r0_a1_1	76	0.0	0.0	3473.3333	5000.0	759999	2232.1997	2232.1987	-3.1522648	-2235.6753	1437.4436	0.68533856	25041.98563194275
ant_mop_r0_a1_1	77	0.0	0.0	2911.3333	5000.0	769999	2242.2085	2242.2068	-3.1587427	-2245.682	1405.1436	0.68921286	25367.624857902527
ant_mop_r0_a1_1	78	0.0	0.0	4361.5	5000.0	779999	2249.9329	2249.9336	-3.1523037	-2253.3044	1449.7362	0.6880527	25694.769434690475
ant_mop_r0_a1_1	79	0.0	0.0	4588.0	5000.0	789999	2258.3875	2258.3875	-3.1286433	-2261.7925	1439.9573	0.68743145	26020.605221271515
ant_mop_r0_a1_1	80	0.0	0.0	3724.5	5000.0	799999	2270.4966	2270.497	-3.1947272	-2273.9888	1403.0354	0.6891793	26347.732818603516
ant_mop_r0_a1_1	81	0.0	0.0	3923.6667	5000.0	809999	2281.7188	2281.719	-3.2049582	-2285.129	1371.9592	0.6916179	26670.065522670746
ant_mop_r0_a1_1	82	0.0	0.0	3237.3333	5000.0	819999	2291.9607	2291.959	-3.1526968	-2295.4597	1476.9896	0.69035923	26991.390518188477
ant_mop_r0_a1_1	83	0.0	0.0	5000.0	5000.0	829999	2303.0444	2303.044	-3.174181	-2306.465	1383.7128	0.6940325	27316.64107275009
ant_mop_r0_a1_1	84	0.0	0.0	5000.0	5000.0	839999	2311.2183	2311.2175	-3.293735	-2314.594	1424.8857	0.69398993	27642.68055987358
ant_mop_r0_a1_1	85	0.0	0.0	5000.0	5000.0	849999	2318.751	2318.75	-3.2236233	-2322.2373	1445.8514	0.69587654	27968.61599469185
ant_mop_r0_a1_1	86	0.0	0.0	5000.0	5000.0	859999	2330.5325	2330.5337	-3.2643018	-2333.9055	1353.816	0.69474393	28292.101620435715
ant_mop_r0_a1_1	87	0.0	0.0	4615.5	5000.0	869999	2340.4285	2340.4268	-3.2265062	-2343.859	1399.6274	0.69312966	28612.93667602539
ant_mop_r0_a1_1	88	0.0	0.0	2446.25	5000.0	879999	2350.6853	2350.6843	-3.327845	-2354.0737	1335.3632	0.6996941	28939.792226314545
ant_mop_r0_a1_1	89	0.0	0.0	3260.5	5000.0	889999	2357.8054	2357.8047	-3.2484937	-2361.236	1382.1494	0.6898748	29264.695487976074
ant_mop_r0_a1_1	90	0.0	0.0	5000.0	5000.0	899999	2367.4673	2367.4678	-3.363474	-2370.872	1412.6012	0.69680035	29592.265877962112
ant_mop_r0_a1_1	91	0.0	0.0	4372.0	5000.0	909999	2374.9053	2374.9062	-3.319662	-2378.2476	1382.8889	0.697649	29910.762741804123
ant_mop_r0_a1_1	92	0.0	0.0	3380.3333	5000.0	919999	2383.4548	2383.4548	-3.1690753	-2386.9358	1491.0338	0.6921125	30229.714031934738
