reward_forward,reward_ctrl,reward_survive,x_position,y_position,distance_from_origin,x_velocity,y_velocity,forward_reward
-0.267807521915146,-3.9204583168029785,1.0,-0.039060244673857936,-0.07724896843089026,0.08656272776211668,-0.267807521915146,-0.5232332769706856,-0.267807521915146
-0.2643317840545281,-2.2651901245117188,1.0,-0.05227683387658434,-0.10918502406745596,0.12105468533175795,-0.2643317840545281,-0.6387211127313142,-0.2643317840545281
0.006611194578342305,-1.069764494895935,1.0,-0.051946274147667226,-0.1062943502714324,0.11830851320784384,0.006611194578342305,0.05781347592047126,0.006611194578342305
-0.4856040964059563,-1.9475711584091187,1.0,-0.07622647896796504,-0.10259997406312152,0.12781717714613644,-0.4856040964059563,0.07388752416621763,-0.4856040964059563
-1.3066779866204028,-3.5814132690429688,1.0,-0.14156037829898518,-0.11623643544135108,0.1831672722629869,-1.3066779866204028,-0.2727292275645912,-1.3066779866204028
-1.082610099749327,-3.5867183208465576,1.0,-0.19569088328645154,-0.12796223408831695,0.23381457429832045,-1.082610099749327,-0.2345159729393173,-1.082610099749327
-1.2818947315159406,-3.7848174571990967,1.0,-0.2597856198622486,-0.15376633763619943,0.30188185582651766,-1.2818947315159406,-0.5160820709576497,-1.2818947315159406
-1.5329606030356502,-3.908069133758545,1.0,-0.3364336500140311,-0.17083870322729625,0.3773240826956951,-1.5329606030356502,-0.34144731182193633,-1.5329606030356502
-1.4985477987012175,-3.7206127643585205,1.0,-0.41136103994909196,-0.18797712498521296,0.4522756954620763,-1.4985477987012175,-0.34276843515833433,-1.4985477987012175
-1.497198061387568,-3.294905185699463,1.0,-0.48622094301847035,-0.20671387169407301,0.5283383671289871,-1.497198061387568,-0.37473493417720105,-1.497198061387568
-1.2989182587475823,-3.863719940185547,1.0,-0.5511668559558495,-0.2362123462720951,0.599650878124617,-1.2989182587475823,-0.5899694915604414,-1.2989182587475823
-0.07013915578112817,-2.9650959968566895,1.0,-0.5546738137449059,-0.26431506090615303,0.6144310303656073,-0.07013915578112817,-0.5620542926811589,-0.07013915578112817
-0.03784390413683836,-3.109225034713745,1.0,-0.5565660089517478,-0.2930587555106524,0.6290064836724096,-0.03784390413683836,-0.5748738920899876,-0.03784390413683836
-0.012432103527755256,-3.2951879501342773,1.0,-0.5571876141281356,-0.3220818365044428,0.643579635122087,-0.012432103527755256,-0.5804616198758072,-0.012432103527755256
0.06597885978956608,-3.2963156700134277,1.0,-0.5538886711386573,-0.3289575317912615,0.6442093741462837,0.06597885978956608,-0.137513905736375,0.06597885978956608
0.0036570103889377314,-3.5179381370544434,1.0,-0.5537058206192104,-0.32790593590939554,0.6435156863606433,0.0036570103889377314,0.021031917637319708,0.0036570103889377314
-0.09423121333596018,-3.558408498764038,1.0,-0.5584173812860084,-0.3183692009982594,0.6427977285792112,-0.09423121333596018,0.19073469822272315,-0.09423121333596018
