Experiment Name	Epoch	EpRet	TestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LogPi	LossPi	LossQ	std	Time
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	33	0.0	0.0	199.52	200.0	329999	369.07443	369.07367	-4.3522687	-373.0271	320.2462	0.7387844	8201.22729754448
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	34	0.0	0.0	185.25926	200.0	339999	369.55383	369.55307	-4.3776903	-373.46658	310.22476	0.7407114	8454.13107085228
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	35	0.0	0.0	200.98	200.0	349999	369.72992	369.72876	-4.38537	-373.64932	312.03534	0.7403006	8705.969649076462
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	36	0.0	0.0	192.92308	200.0	359999	371.27246	371.26923	-4.3971763	-375.23804	301.2846	0.7381958	8956.825924634933
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	37	0.0	0.0	191.5	200.0	369999	372.68945	372.68747	-4.4162	-376.58685	309.5544	0.74001926	9209.33543086052
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	38	0.0	0.0	189.86792	200.0	379999	372.2964	372.29535	-4.41367	-376.22534	302.29272	0.7398699	9460.40460395813
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	39	0.0	0.0	214.45653	200.0	389999	372.3034	372.3017	-4.4239316	-376.22476	298.4096	0.74043894	9712.234289646149
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	40	0.0	0.0	202.16	200.0	399999	372.8018	372.7998	-4.435029	-376.73038	293.77646	0.74052	9963.633070230484
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	41	0.0	0.0	194.50981	200.0	409999	374.08752	374.08594	-4.4324055	-378.0175	298.392	0.74032533	10213.559801578522
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	42	0.0	0.0	195.13725	200.0	419999	376.00598	376.00507	-4.4378157	-379.955	296.40494	0.7413045	10465.907848834991
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	43	0.0	0.0	209.54167	200.0	429999	377.46393	377.46268	-4.440856	-381.4219	283.08044	0.741054	10715.826800584793
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	44	0.0	0.0	188.81133	200.0	439999	378.57315	378.5724	-4.4581614	-382.52997	282.81747	0.7423825	10968.631177186966
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	45	0.0	0.0	199.4	200.0	449999	380.00198	379.99988	-4.457971	-383.9586	286.44714	0.7437781	11219.001460552216
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	46	0.0	0.0	197.9804	200.0	459999	379.43427	379.43265	-4.46399	-383.35477	280.8719	0.74479055	11467.712855100632
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	47	0.0	0.0	203.67346	200.0	469999	379.53543	379.53506	-4.4681735	-383.4351	280.59012	0.74375373	11719.647226333618
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	48	0.0	0.0	210.19148	200.0	479999	378.99298	378.9921	-4.4709425	-382.8931	278.7839	0.74277437	11969.422216653824
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	49	0.0	0.0	201.3	200.0	489999	378.24765	378.24652	-4.459948	-382.1442	279.84662	0.7420729	12218.099509477615
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	50	0.0	0.0	211.02083	200.0	499999	378.4414	378.4413	-4.45943	-382.33954	280.147	0.7412316	12468.27611541748
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	51	0.0	0.0	212.12766	200.0	509999	378.21848	378.21725	-4.4399347	-382.09625	282.79214	0.7397031	12717.889771938324
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	52	0.0	0.0	191.6923	200.0	519999	377.56348	377.56235	-4.461936	-381.45715	276.5149	0.7417867	12969.467208385468
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	53	0.0	0.0	194.33333	200.0	529999	377.70767	377.70898	-4.4611444	-381.59616	274.6144	0.74186766	13219.300783395767
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	54	0.0	0.0	207.16327	200.0	539999	378.35007	378.34848	-4.475009	-382.2661	274.85733	0.74345684	13469.03680896759
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	55	0.0	0.0	197.93878	200.0	549999	378.68927	378.68845	-4.489848	-382.60266	262.83832	0.74416924	13719.448116779327
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	56	0.0	0.0	203.54	200.0	559999	378.69965	378.6978	-4.502931	-382.62708	261.1888	0.74559426	13970.29601764679
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	57	0.0	0.0	191.34616	200.0	569999	379.07025	379.07034	-4.490633	-382.94724	261.50436	0.7436838	14220.862337589264
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	58	0.0	0.0	197.70589	200.0	579999	378.86237	378.86188	-4.498434	-382.75	250.51015	0.74416775	14470.629395961761
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	59	0.0	0.0	194.88235	200.0	589999	378.08853	378.0867	-4.489379	-381.95755	264.946	0.74426436	14720.592952728271
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	60	0.0	0.0	188.62263	200.0	599999	375.94595	375.94553	-4.4712687	-379.794	274.00626	0.7391978	14970.132725477219
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	61	0.0	0.0	198.45097	200.0	609999	374.76257	374.76282	-4.4797626	-378.59457	263.15488	0.73995763	15218.7355697155
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	62	0.0	0.0	207.95833	200.0	619999	374.62195	374.62024	-4.490039	-378.4474	265.1649	0.7405273	15469.367733240128
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	63	0.0	0.0	194.2745	200.0	629999	373.91275	373.91223	-4.4885645	-377.77835	254.70145	0.7403659	15719.674251556396
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	64	0.0	0.0	218.69565	200.0	639999	375.1497	375.14954	-4.505529	-379.01114	253.6957	0.74059844	15969.869044542313
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	65	0.0	0.0	196.58824	200.0	649999	375.58493	375.58487	-4.512345	-379.41916	247.61557	0.74076277	16218.710037708282
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	66	0.0	0.0	212.42554	200.0	659999	375.4289	375.4282	-4.5094023	-379.26334	244.1322	0.7394817	16467.479759693146
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	67	0.0	0.0	199.62	200.0	669999	375.693	375.69125	-4.5198793	-379.5395	249.92638	0.74148357	16715.954015254974
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	68	0.0	0.0	208.10417	200.0	679999	376.74658	376.7477	-4.5253463	-380.5879	244.2388	0.7414162	16964.988037586212
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	69	0.0	0.0	196.39215	200.0	689999	375.5343	375.53223	-4.50743	-379.36096	253.26128	0.7391713	17213.47489786148
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	70	0.0	0.0	192.82692	200.0	699999	373.6133	373.6127	-4.517884	-377.4441	246.01945	0.74022937	17461.826118946075
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	71	0.0	0.0	194.54903	200.0	709999	373.2041	373.2035	-4.5104856	-377.05994	246.93414	0.7404225	17706.515552043915
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	72	0.0	0.0	201.92	200.0	719999	374.08627	374.085	-4.511312	-377.9234	244.4181	0.7392814	17956.282803058624
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	73	0.0	0.0	196.50981	200.0	729999	372.91098	372.90982	-4.522666	-376.72684	243.01328	0.740828	18202.760337352753
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	74	0.0	0.0	191.08	200.0	739999	372.94034	372.94028	-4.530301	-376.7563	245.39983	0.7406137	18451.172811985016
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	75	0.0	0.0	222.34042	200.0	749999	372.15692	372.15668	-4.505032	-375.97925	255.0599	0.738634	18696.733113527298
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	76	0.0	0.0	191.63461	200.0	759999	370.20676	370.20642	-4.5117106	-373.98984	235.98814	0.7371505	18946.453723192215
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	77	0.0	0.0	209.0	200.0	769999	370.649	370.64923	-4.528314	-374.44186	232.94102	0.74034756	19192.92334508896
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	78	0.0	0.0	205.22917	200.0	779999	370.06906	370.06876	-4.5184155	-373.84064	237.35408	0.7376452	19439.456102371216
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	79	0.0	0.0	211.17021	200.0	789999	370.63492	370.634	-4.524426	-374.42065	239.46555	0.7387097	19688.13942837715
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	80	0.0	0.0	205.67346	200.0	799999	370.1909	370.18933	-4.515167	-373.94595	243.86757	0.73442775	19935.250601291656
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	81	0.0	0.0	197.7255	200.0	809999	369.4511	369.45233	-4.51026	-373.2153	233.58603	0.7357503	20183.782073259354
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	82	0.0	0.0	217.63043	200.0	819999	369.76044	369.75995	-4.52752	-373.51596	231.80463	0.73757464	20430.632872104645
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	83	0.0	0.0	204.65306	200.0	829999	368.78214	368.78284	-4.5244765	-372.547	229.76683	0.73680264	20677.343673229218
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	84	0.0	0.0	207.22917	200.0	839999	369.4113	369.41016	-4.540131	-373.161	225.93843	0.73850125	20923.748277425766
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	85	0.0	0.0	196.12	200.0	849999	369.26456	369.26324	-4.521807	-373.01163	224.51947	0.7366944	21169.485701084137
