0,1,2,3,4,5,6,7
0.9999727,-0.9999714,1.0,0.9999998,0.9999999,-0.99999994,-0.999996,-0.50426465
-0.98333645,1.0,-0.99999297,1.0,0.9999998,-0.99646956,1.0,-0.99999964
-0.899272,0.27719432,-0.35988602,-0.8216785,-0.944357,0.99993855,-0.17625695,0.99044734
0.35876063,0.99978155,0.7839929,0.9999791,0.9996458,-0.89125055,-0.72501415,-0.9981694
-0.079588406,0.9946816,0.715417,0.95387965,0.9694157,0.37642765,0.048063647,-0.97412026
0.5563621,0.28519216,-0.16267961,0.4753139,-0.26410314,0.61874646,-0.762326,-0.734021
-0.9854355,0.9999202,0.98703516,0.8643695,0.95858014,-0.98252463,-0.91977406,-0.99355745
-0.28122067,0.9924325,0.797211,-0.4362952,0.6396244,0.37842762,0.26821005,-0.99682647
-0.9795491,0.9991719,0.67884123,0.5304957,0.73670197,0.39218,-0.88359976,-0.9763359
-0.9590415,0.99972016,0.7748549,-0.25550345,-0.51977056,-0.37329182,-0.57189536,-0.9789821
-0.89719933,0.9998522,0.9430757,-0.5555372,0.950914,-0.07188032,-0.9730612,-0.902026
-0.99430513,0.99340713,0.20047787,0.9715561,0.26360315,-0.024159618,-0.78537697,-0.9930004
-0.9934648,0.9956505,0.79593134,0.6004677,0.6738448,-0.24352746,-0.94713265,-0.906234
-0.97218734,0.9980666,0.8870917,0.07578702,0.7340268,-0.08084123,-0.33214334,-0.97378105
0.3635112,0.92250896,0.60702586,-0.5567727,-0.844837,0.6285418,0.7784865,0.10778511
-0.99810636,0.9958626,0.986271,0.99987745,0.9925147,-0.9214068,-0.9879165,-0.9838823
-0.6041914,0.9169593,0.5827307,-0.6434995,-0.37640107,0.68573296,-0.09298782,-0.9864657
-0.98880816,0.99968636,0.079534896,0.91984236,0.41770944,-0.805031,-0.5963566,-0.9752546
0.8157357,0.3770287,-0.92355406,0.9714731,-0.68575305,-0.54810697,0.95607334,-0.7099723
-0.9999292,0.9987264,0.9959147,0.9710065,0.9283378,-0.75685894,-0.99871343,-0.818224
-0.99237895,0.9987271,-0.5730301,0.93871003,-0.32480043,-0.7710648,-0.5168511,-0.9780432
-0.7740204,0.76433134,-0.17394853,0.57281417,0.528174,-0.53296214,-0.7974179,-0.62235856
-0.9982588,0.999444,0.91816777,0.97297615,0.5238145,-0.73100996,-0.9953319,-0.88821036
-0.9996291,0.99930376,-0.8827839,0.94435555,0.45505568,-0.82500505,-0.97036254,-0.9782066
-0.9687889,0.99934316,0.64605117,0.87185585,0.5084149,-0.3435244,-0.9891222,-0.95285016
-0.99709564,0.99883395,-0.68907744,0.9252689,0.3987984,-0.42961875,-0.9525667,-0.97832996
-0.92626387,0.9974744,0.6210177,0.86794245,0.70397556,-0.6075449,-0.9771232,-0.91658664
-0.9948182,0.9977157,-0.5556365,0.9029596,0.40449026,-0.24278797,-0.93953335,-0.98134995
-0.9510821,0.99621445,0.5266592,0.83011055,0.6996974,-0.36513928,-0.9677609,-0.92132235
-0.9953219,0.9989639,-0.78745353,0.9419771,0.52998555,-0.23717585,-0.94091856,-0.985779
-0.9926266,0.99771446,-0.6508002,0.90899837,0.50641423,-0.17663302,-0.93777937,-0.9825411
-0.9912001,0.998502,-0.72414297,0.9177785,0.4177659,-0.16355568,-0.94089717,-0.98569876
-0.990228,0.99785304,-0.6212456,0.9115761,0.4661648,-0.1589903,-0.9423676,-0.9820981
-0.77325845,-0.8107254,0.9276975,0.82932425,-0.7821443,-0.37754592,-0.6099246,-0.72425896
-0.9999985,0.9999602,-0.9983593,0.9941305,0.9992179,-0.99721974,-0.87278706,-0.9997929
-0.9934152,0.9992546,-0.6913661,0.92885494,0.12842964,-0.48696917,-0.85942674,-0.9873209
-0.9829688,0.9590908,0.7276032,0.5867076,0.14414246,-0.40121913,-0.9773066,-0.97774774
-0.98841804,0.99994797,-0.94032973,0.98844594,0.17485629,-0.5560237,-0.97778463,-0.98144954
-0.9901854,0.999357,-0.7805333,0.9621664,0.52916634,-0.29915926,-0.96683216,-0.98110116
-0.9883524,0.9933791,-0.31733254,0.81000745,0.5244328,-0.34163588,-0.913857,-0.98120266
-0.98856604,0.9986175,-0.7419101,0.9178276,0.25722516,-0.2529736,-0.95492965,-0.9838043
-0.9889307,0.998229,-0.70119834,0.9082963,0.29375786,-0.250301,-0.9522278,-0.9833102
-0.27904218,-0.40866902,0.30018443,0.10642701,0.9145452,-0.2667033,0.17306979,-0.7221506
-0.99934727,0.99995244,-0.97281176,0.9833302,0.68435276,-0.55029917,-0.97246957,-0.9919752
-0.98671407,0.9925914,0.37763643,0.8650993,0.38807234,-0.28421247,-0.990332,-0.96787536
-0.9987507,0.9999405,-0.9823993,0.9830704,0.6488409,-0.51356924,-0.9669688,-0.99477375
-0.9871231,0.9996968,-0.89288473,0.953986,0.2131116,-0.4782103,-0.96413237,-0.9850726
0.34106693,-0.7099348,-0.49733317,0.3870655,-0.107250564,-0.3049992,-0.44358703,-0.43480894
0.15129682,0.257473,0.36470222,0.90336615,-0.69413465,0.65698874,-0.1519338,-0.630524
-0.9999657,0.9997607,-0.84147334,0.8701061,0.9918132,-0.99753976,0.10136045,-0.99955195
-0.85835874,0.8525088,0.6708336,0.85797644,0.030220691,0.7942661,-0.97040343,-0.98922485
-0.99335605,0.9986961,-0.80368066,0.9006983,-0.78190374,-0.8617817,-0.9348097,-0.9934033
